,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
364,Lucas Lima,br BRA,MFFW,Fortaleza,31,1990,13.0,650,557,90,36,3,4,81,10,36,18,16,0,480,3,16,Matches,49d03337
365,Rodrigo Lindoso,br BRA,MF,Ceará,32,1989,9.6,499,470,29,28,0,11,4,0,1,1,0,0,429,0,7,Matches,7b013540
366,Liziero,br BRA,MF,Internacional,23,1998,5.6,292,270,22,10,0,0,7,9,2,0,2,0,254,0,5,Matches,318ecb8c
367,David Loiola,br BRA,DF,Ceará,19,2002,4.4,151,145,5,5,0,2,2,0,0,0,0,0,126,1,2,Matches,eddf365e
368,Marcelo Lomba,br BRA,GK,Palmeiras,35,1986,3.0,113,62,51,11,0,0,0,0,0,0,0,0,93,0,0,Matches,e4835e3c
369,Kevin Lomónaco,ar ARG,DF,Bragantino,20,2002,12.4,681,658,22,19,1,6,7,3,0,0,0,0,588,1,5,Matches,dd5ddb83
370,José López,ar ARG,FW,Palmeiras,21,2000,6.1,106,101,3,0,0,2,3,0,0,0,0,0,70,2,3,Matches,e1426a52
371,Henrique Lordelo,br BRA,MFDF,Goiás,21,2000,1.4,50,45,4,2,0,0,0,2,0,0,0,0,39,1,1,Matches,b63394ba
372,Guillermo de los Santos,uy URU,DF,Coritiba,30,1991,10.5,434,393,38,30,0,10,4,8,0,0,0,0,337,3,4,Matches,1ac629b0
373,Luan,br BRA,MF,São Paulo,22,1999,1.8,113,112,1,1,0,0,0,0,0,0,0,0,103,0,1,Matches,12a226cf
374,Luan,br BRA,MF,Goiás,31,1990,0.5,26,26,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches,22fc8906
375,Lucão,br BRA,GK,Bragantino,20,2001,1.0,41,22,16,3,0,0,0,0,0,0,0,0,28,3,0,Matches,ebb5a0df
376,Lucas,br BRA,DF,Santos,20,2001,16.2,958,723,229,39,0,0,143,145,45,12,27,0,666,6,26,Matches,5d68f5b2
377,Ayrton Lucas,br BRA,DF,Flamengo,24,1997,28.4,1626,1341,283,43,1,4,64,240,0,0,0,0,1322,2,32,Matches,db90b737
378,João Lucas,br BRA,DFMF,Cuiabá,23,1998,23.8,1106,849,255,15,0,4,84,240,0,0,0,0,719,2,51,Matches,289dc81e
379,Luciano,br BRA,FW,São Paulo,28,1993,22.6,764,738,21,14,2,17,5,5,0,0,0,0,640,5,13,Matches,24ce161c
380,André Luis,br BRA,FWMF,Cuiabá,24,1997,20.4,440,414,26,3,1,0,19,15,2,0,0,0,349,0,8,Matches,821097f7
381,Filipe Luís,br BRA,DF,Flamengo,36,1985,7.1,573,508,64,26,0,9,23,38,0,0,0,0,526,1,7,Matches,e4ed2628
382,Victor Luis,br BRA,DF,Ceará,28,1993,15.7,940,758,176,46,0,2,57,117,13,0,13,0,762,6,15,Matches,cc68c4d3
383,David Luiz,br BRA,DF,Flamengo,34,1987,15.8,1038,979,56,47,2,4,6,3,0,0,0,0,920,3,2,Matches,c0e27d1a
384,Luizão,br BRA,DF,São Paulo,19,2002,11.0,534,488,45,16,0,5,1,17,0,0,0,0,467,1,5,Matches,fb02fba4
385,Vinícius Machado,br BRA,GK,Ceará,21,2000,2.0,36,25,11,0,0,0,0,0,0,0,0,0,28,0,0,Matches,0d9b2e53
386,Mádson,br BRA,DF,Santos,30,1992,23.8,1047,839,208,16,0,4,55,192,0,0,0,0,806,0,21,Matches,766094be
387,Maguinho,br BRA,DFMF,Goiás,29,1993,21.6,737,566,171,8,1,4,41,163,0,0,0,0,523,0,24,Matches,d1c855c5
388,Gustavo Maia,br BRA,FW,Internacional,21,2001,0.2,7,7,0,0,0,0,2,0,0,0,0,0,5,0,0,Matches,b36fed1d
389,Leonardo Maia,br BRA,MF,Bragantino,18,2003,0.3,,,,,,,0,,,,,,,,,Matches,a6f491e2
390,Pablo Maia,br BRA,MF,São Paulo,20,2002,22.8,1389,1349,39,35,0,24,8,4,0,0,0,0,1244,1,15,Matches,3a243771
391,Thiago Maia,br BRA,MF,Flamengo,24,1997,17.2,1156,1118,35,27,2,5,3,8,0,0,0,0,1046,3,11,Matches,91e58f66
392,Maicon,br BRA,DF,Santos,33,1988,21.3,1043,977,64,62,0,27,16,2,0,0,0,0,850,2,3,Matches,2a8683b9
393,Iago Maidana,br BRA,DF,América (MG),25,1996,11.5,374,359,13,12,0,5,0,0,0,0,0,0,286,2,1,Matches,e65a5924
394,Léo Mana,br BRA,DF,Corinthians,17,2004,0.5,23,19,4,0,0,0,1,4,0,0,0,0,16,0,2,Matches,d7a180bc
395,Alef Manga,br BRA,FWMF,Coritiba,27,1994,27.0,761,750,10,1,2,11,87,8,0,0,0,0,536,1,23,Matches,559782c4
396,Manoel,br BRA,DF,Fluminense,31,1990,27.2,1677,1561,115,103,0,14,5,11,0,0,0,0,1508,1,5,Matches,12748e35
397,Gustavo Mantuan,br BRA,FWDF,Corinthians,20,2001,9.6,407,369,38,5,3,5,24,32,1,0,1,0,315,0,13,Matches,0d717632
398,Luis Manuel Orejuela,co COL,DF,Atl Paranaense,26,1995,13.0,530,398,132,5,0,3,37,127,0,0,0,0,399,0,7,Matches,e6a6379d
399,Maranhão,br BRA,FW,Botafogo (RJ),19,2002,1.0,,,,,,,2,,,,,,,,,Matches,617f236c
400,Willian Maranhão,br BRA,MFDF,Atl Goianiense,26,1995,14.8,587,565,22,19,0,8,3,3,0,0,0,0,496,0,8,Matches,f1d95c74
401,Willian Maranhão,br BRA,MF,Santos,26,1995,1.8,55,54,1,1,0,0,0,0,0,0,0,0,44,0,2,Matches,f1d95c74
402,Fernando Marçal,br BRA,DF,Botafogo (RJ),32,1989,17.1,1122,828,288,64,0,4,124,167,57,3,53,0,854,6,16,Matches,9ae9eaea
403,Marcelo,br BRA,DF,Fortaleza,26,1996,29.0,963,904,55,50,1,2,4,2,0,0,0,0,770,4,13,Matches,300b455d
404,Marcinho,br BRA,FWMF,Avaí,26,1995,5.8,224,209,15,3,1,3,14,7,5,1,2,0,186,0,1,Matches,5465c7f9
405,Mariano,br BRA,DF,Atlético Mineiro,35,1986,19.2,1213,1009,200,27,3,13,78,167,6,0,6,0,978,4,11,Matches,e26f559f
406,Marinho,br BRA,FW,Flamengo,31,1990,15.3,497,427,69,13,3,3,94,5,51,37,12,0,342,1,21,Matches,c077c735
407,Rodriguinho Marinho,br BRA,FWMF,Cuiabá,33,1988,16.5,432,413,15,2,1,6,8,1,0,0,0,0,332,4,11,Matches,0e335a47
408,Marlon,br BRA,DF,América (MG),27,1994,24.3,1165,901,261,41,3,3,71,216,4,0,4,0,883,3,28,Matches,a87b508e
409,Marlon,br BRA,DF,Fluminense,24,1997,3.0,123,95,27,1,0,3,15,19,6,1,4,0,75,1,2,Matches,63969d01
410,Marlon,br BRA,MFFW,Juventude,31,1990,4.5,155,137,18,9,0,1,10,1,7,2,3,0,121,0,2,Matches,455c6130
411,Marlos,ua UKR,MFFW,Atl Paranaense,33,1988,1.7,89,79,8,3,1,1,4,1,3,2,1,0,69,2,3,Matches,9139bb12
412,Felipe Marques,br BRA,FWMF,Cuiabá,32,1990,10.6,307,306,1,0,1,2,38,1,0,0,0,0,230,0,13,Matches,30139a1c
413,Gustavo Marques,br BRA,DF,América (MG),20,2001,0.5,11,11,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches,b4fce835
414,Marquinhos,br BRA,MF,São Paulo,18,2003,0.3,12,12,0,0,0,1,1,0,0,0,0,0,11,0,0,Matches,59878425
415,Marquinhos,br BRA,FWMF,Cuiabá,25,1997,2.2,76,73,3,1,0,0,4,1,0,0,0,0,53,0,4,Matches,a9c95220
416,Marrony,br BRA,FWMF,Fluminense,22,1999,2.0,90,89,1,1,1,0,5,0,0,0,0,0,69,0,5,Matches,1dff86ec
417,Matheus Martinelli,br BRA,MF,Fluminense,20,2001,18.0,1365,1317,44,31,4,5,13,13,0,0,0,0,1193,4,21,Matches,2b124c8c
418,Adrián Martínez,ar ARG,FWMF,Coritiba,29,1992,11.1,186,169,16,1,0,0,4,2,0,0,0,0,120,1,9,Matches,6c513f98
419,Matheus Martins,br BRA,FWMF,Fluminense,18,2003,17.8,665,653,12,3,3,3,52,0,9,6,2,0,524,0,27,Matches,73fd2787
420,Wellington Martins,br BRA,MF,Fluminense,31,1991,7.0,411,384,25,25,1,2,3,0,0,0,0,0,350,2,7,Matches,0430d656
421,Gonzalo Mastriani,uy URU,FW,América (MG),28,1993,5.2,80,70,9,0,0,0,1,0,0,0,0,0,59,1,1,Matches,b4339e2b
422,Mateusão,br BRA,FWMF,Flamengo,17,2004,2.5,45,42,2,0,0,0,2,0,0,0,0,0,27,1,1,Matches,78bee906
423,William Matheus,br BRA,DF,Juventude,31,1990,10.1,495,381,113,17,0,2,16,96,0,0,0,0,369,1,10,Matches,3498ddf4
424,Matheusinho,br BRA,MFFW,América (MG),23,1998,15.3,587,560,24,3,4,2,46,7,14,2,7,0,430,3,22,Matches,74f5a96d
425,Matheuzinho,br BRA,DF,Flamengo,21,2000,23.9,1407,1216,190,24,0,16,71,165,1,0,1,0,1173,1,27,Matches,2a5bc0cd
426,Diego Matos,br BRA,DF,Avaí,25,1997,1.2,62,52,10,0,0,0,2,10,0,0,0,0,40,0,0,Matches,4b799458
427,Mauricio,br BRA,FWMF,Internacional,20,2001,17.4,696,668,25,5,4,4,43,12,7,7,0,0,527,3,28,Matches,bf4cbc22
428,Maycon,br BRA,MF,Corinthians,24,1997,8.8,524,477,45,15,1,6,35,4,25,11,9,0,438,2,11,Matches,005ca692
429,Mayke,br BRA,DFFW,Palmeiras,29,1992,16.3,919,793,119,15,1,1,57,102,2,1,0,0,737,7,20,Matches,47431289
430,Bruno Melo,br BRA,DFMF,Corinthians,29,1992,4.9,253,226,26,3,0,1,10,23,0,0,0,0,201,1,5,Matches,41ee21ae
431,Felipe Melo,br BRA,DFMF,Fluminense,38,1983,8.1,476,456,20,20,0,12,0,0,0,0,0,0,396,0,5,Matches,b14d84d3
432,Darlan Mendes,br BRA,MFFW,Juventude,23,1998,1.3,79,74,5,4,0,1,2,0,1,0,1,0,66,0,1,Matches,a86f0d7b
433,Vitor Mendes,br BRA,DF,Juventude,22,1999,18.3,793,762,31,27,0,2,0,3,0,0,0,0,651,0,8,Matches,3cdbeab9
434,Bruno Méndez,uy URU,DF,Internacional,22,1999,4.8,218,208,9,5,0,2,1,3,0,0,0,0,180,1,4,Matches,66017b9d
435,Bruno Méndez,uy URU,DF,Corinthians,22,1999,12.6,717,617,99,11,0,2,11,88,0,0,0,0,557,1,6,Matches,66017b9d
436,Stiven Mendoza,co COL,FW,Ceará,29,1992,25.9,685,667,14,5,2,7,53,7,1,0,0,0,503,4,23,Matches,e68f2cb4
437,Ramon Menezes Roma,br BRA,DF,Atl Goianiense,26,1995,14.0,722,712,10,9,0,6,0,1,0,0,0,0,655,0,2,Matches,eab48ffb
438,Gabriel Menino,br BRA,MF,Palmeiras,21,2000,10.2,634,587,44,23,1,13,39,3,18,5,10,0,516,3,10,Matches,01819e70
439,Gabriel Mercado,ar ARG,DF,Internacional,34,1987,23.6,1029,982,45,40,0,3,4,4,0,0,0,0,923,2,7,Matches,bf97c188
440,John Mercado,ec ECU,FW,Atl Paranaense,19,2002,0.0,5,5,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches,d97831ad
441,Miguel Merentiel,uy URU,FWMF,Palmeiras,25,1996,2.6,47,43,3,0,0,0,1,0,0,0,0,0,35,1,2,Matches,307224a2
442,Messias,br BRA,DF,Ceará,27,1994,23.0,768,746,20,20,0,5,1,0,0,0,0,0,594,2,5,Matches,70bb3170
443,Lucas Mezenga,br BRA,DF,Botafogo (RJ),20,2001,3.1,157,143,14,2,0,1,0,12,0,0,0,0,119,0,0,Matches,d62f5849
444,Michel,br BRA,DF,Ceará,31,1990,11.8,573,468,103,6,0,0,34,97,0,0,0,0,450,2,9,Matches,05384ea1
445,Carlos Miguel,br BRA,GK,Corinthians,23,1998,2.0,56,30,26,3,0,0,0,0,0,0,0,0,29,0,0,Matches,84454067
446,Fernando Miguel,br BRA,GK,Fortaleza,36,1985,20.0,488,270,215,54,0,0,0,0,0,0,0,0,318,3,1,Matches,f1f06658
447,Miranda,br BRA,DF,São Paulo,37,1984,12.8,622,562,60,34,0,1,0,2,0,0,0,0,547,0,2,Matches,314f2124
448,Paulo Miranda,br BRA,DF,Juventude,33,1988,16.4,768,729,37,36,0,4,0,0,0,0,0,0,653,2,1,Matches,93a194e1
449,Paulinho Moccelin,br BRA,MFFW,Juventude,27,1994,4.3,114,96,15,4,1,1,14,4,7,2,4,0,57,3,7,Matches,d63fb6a8
450,Moisés,br BRA,DF,Internacional,26,1995,6.5,331,279,51,8,0,0,15,43,0,0,0,0,267,1,5,Matches,a40af810
451,Moises,br BRA,FWMF,Fortaleza,25,1996,25.0,584,543,39,4,4,7,27,18,11,9,2,0,421,2,22,Matches,ddd07a25
452,Rodrigo Moledo,br BRA,DF,Internacional,34,1987,13.5,522,501,20,20,0,1,0,0,0,0,0,0,456,1,2,Matches,ce536c37
453,Jacob Montes,us USA,MF,Botafogo (RJ),23,1998,1.0,25,25,0,0,0,0,0,0,0,0,0,0,22,0,2,Matches,69678c84
454,Moraes,br BRA,DFMF,Juventude,24,1997,15.2,701,556,142,10,0,3,53,118,14,1,9,0,494,3,23,Matches,9b974a99
455,Airton Moraes,br BRA,GK,América (MG),27,1994,1.0,30,19,10,1,0,0,0,0,0,0,0,0,18,1,0,Matches,5e8682b0
456,Júnior Moraes,ua UKR,FW,Corinthians,34,1987,4.5,73,68,5,0,0,0,2,0,0,0,0,0,56,0,1,Matches,c43e5e7e
457,Wesley Moraes,br BRA,FW,Internacional,25,1996,3.3,88,82,6,0,1,0,0,0,0,0,0,0,67,0,2,Matches,bfae110f
458,Morato,br BRA,FWMF,Avaí,29,1992,7.3,214,206,6,2,1,1,5,1,3,0,0,0,168,2,7,Matches,96b49b3b
459,João Moreira,pt POR,DF,São Paulo,17,2004,3.2,176,162,14,1,0,0,8,13,0,0,0,0,154,0,4,Matches,b3be99e3
460,Lucas Moreira,br BRA,MFFW,Cuiabá,21,2000,1.4,67,62,5,1,0,0,3,3,1,0,0,0,50,0,3,Matches,b9d412ff
461,Gustavo Mosquito,br BRA,FWMF,Corinthians,24,1997,12.6,394,367,25,4,0,1,51,4,17,3,12,0,287,2,11,Matches,c9ed46c4
462,Hugo Moura,br BRA,MF,Atl Paranaense,24,1998,19.4,779,753,25,22,1,13,8,2,1,0,0,0,643,1,17,Matches,14100165
463,Alex Muralha,br BRA,GK,Coritiba,32,1989,19.0,497,275,218,40,0,0,0,0,0,0,0,0,341,4,0,Matches,38082f12
464,Muriqui,br BRA,FWMF,Avaí,35,1986,14.3,376,363,11,2,2,3,12,3,1,0,0,0,277,2,9,Matches,a55ac46c
465,Andrey Ramos do Nascimento,br BRA,MF,Coritiba,23,1998,5.4,283,273,9,8,0,5,8,1,0,0,0,0,247,1,2,Matches,eb55ab5a
466,Matheus Nascimento,br BRA,FWMF,Botafogo (RJ),17,2004,6.8,127,121,6,0,0,1,1,0,0,0,0,0,83,0,8,Matches,e744c3de
467,Natan,br BRA,DF,Bragantino,20,2001,32.0,1515,1447,66,61,0,30,9,5,0,0,0,0,1323,2,3,Matches,94bccc82
468,Natanael,br BRA,DF,Coritiba,20,2002,16.0,678,510,167,6,0,3,43,161,0,0,0,0,514,1,20,Matches,0b618504
469,Natanael,br BRA,DFFW,Avaí,31,1990,13.4,537,418,118,31,1,7,106,56,31,16,11,0,345,1,10,Matches,ed560575
470,Léo Natel,br BRA,FW,Corinthians,24,1997,0.3,14,13,1,1,0,0,2,0,0,0,0,0,8,0,1,Matches,cd8d04a2
471,Nathan,br BRA,DF,Santos,20,2001,6.9,352,284,67,5,0,1,9,62,0,0,0,0,297,1,11,Matches,9fb6420e
472,Nathan,br BRA,MF,Goiás,20,2001,0.0,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,eb61284b
473,Nathan,br BRA,MFFW,Fluminense,25,1996,10.7,558,513,43,6,4,1,57,4,32,15,7,0,431,2,11,Matches,fa00f0c9
474,Nathan,br BRA,DF,Coritiba,19,2002,5.0,224,169,55,8,0,0,5,47,0,0,0,0,159,0,5,Matches,c5aa7b35
475,Nathan,br BRA,FWMF,Avaí,22,1999,1.1,21,20,1,0,0,0,0,0,0,0,0,0,16,0,1,Matches,e0d5a5e9
476,Rafael Navarro,br BRA,FWMF,Palmeiras,21,2000,8.0,111,103,6,0,1,0,6,0,0,0,0,0,67,2,9,Matches,4b5ab509
477,Kaiky Naves,br BRA,DFMF,Palmeiras,19,2002,0.4,19,17,2,2,0,0,0,0,0,0,0,0,18,0,0,Matches,621576f9
478,Bruno Nazário,br BRA,MF,Juventude,26,1995,6.5,293,247,44,15,2,7,46,3,25,8,15,0,199,2,13,Matches,dc1d79a5
479,Neílton,br BRA,FWDF,Coritiba,27,1994,0.9,39,37,2,1,2,0,4,1,0,0,0,0,31,0,0,Matches,689299a6
480,Gabriel Neris,br BRA,MF,Juventude,20,2001,2.4,69,65,4,3,0,1,2,0,0,0,0,0,57,0,2,Matches,54fe5551
481,Gustavo Nescau,br BRA,FW,Cuiabá,21,2000,0.3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,0682693b
482,Rodrigo Nestor,br BRA,MF,São Paulo,21,2000,23.6,1045,963,79,30,5,3,87,7,40,28,6,0,816,3,26,Matches,c04ebe99
483,Gabriel Neves,uy URU,MF,São Paulo,24,1997,6.3,419,402,16,16,0,4,0,0,0,0,0,0,369,1,5,Matches,2a03fb5f
484,Nicolas,br BRA,FWMF,Goiás,32,1989,11.1,290,276,12,1,1,2,2,1,0,0,0,0,183,2,7,Matches,0e74a520
485,Nikão,br BRA,FWMF,São Paulo,29,1992,5.8,283,248,34,5,0,9,36,1,24,12,9,0,224,1,10,Matches,a34bb194
486,Nino,br BRA,DF,Fluminense,24,1997,27.9,1595,1529,65,60,1,19,1,3,0,0,0,0,1442,1,10,Matches,d4fa2207
487,Gabriel Noga,br BRA,DF,Atl Goianiense,20,2002,0.0,,,,,,,0,,,,,,,,,Matches,aa306af5
488,Ygor Nogueira,br BRA,DF,Juventude,26,1995,5.0,225,219,5,5,0,0,0,0,0,0,0,0,188,1,2,Matches,38466ef3
489,Nonato,br BRA,MF,Fluminense,23,1998,12.1,970,932,36,19,2,2,38,5,12,4,6,0,832,2,13,Matches,b91a6912
490,Nonoca,br BRA,MF,Avaí,23,1998,11.5,503,488,15,15,0,1,1,0,0,0,0,0,441,0,7,Matches,06c062d4
491,Gabriel Novaes,br BRA,FWMF,Bragantino,22,1999,4.3,73,66,7,0,0,0,2,0,0,0,0,0,56,0,4,Matches,297a324a
492,Thales Oleques,br BRA,DF,Avaí,27,1994,6.2,282,214,67,11,0,0,21,56,0,0,0,0,202,1,5,Matches,a30f8286
493,Bruno Oliveira,br BRA,MFFW,Santos,23,1998,5.0,257,221,34,13,4,3,33,2,19,13,3,0,196,2,2,Matches,d46904eb
494,Yuri Oliveira Lima,br BRA,MF,Juventude,27,1994,16.8,877,843,33,28,4,2,6,4,0,0,0,0,744,1,7,Matches,bcf3d64e
495,Pedro Oliveira,br BRA,MFFW,Goiás,17,2004,3.3,105,98,7,2,0,0,10,4,0,0,0,0,76,0,4,Matches,089b56d8
496,Leo Ortiz,br BRA,DF,Bragantino,26,1996,21.4,1197,1129,62,58,0,47,13,4,0,0,0,0,1011,6,12,Matches,53834fa2
497,Kelvin Osorio,co COL,MFDF,Cuiabá,28,1993,10.5,489,400,87,22,1,0,71,41,20,8,9,0,352,2,13,Matches,1247ace9
498,Otávio,br BRA,MF,Atlético Mineiro,27,1994,12.9,892,861,30,27,0,2,5,3,0,0,0,0,812,1,4,Matches,243f4a0b
499,Luiz Otávio,br BRA,DF,Ceará,33,1988,21.2,806,770,31,29,0,8,1,2,0,0,0,0,674,5,6,Matches,ed976dd9
500,Rómulo Otero,ve VEN,MFFW,Fortaleza,29,1992,2.6,122,88,33,13,0,1,30,2,18,10,8,0,80,1,2,Matches,96fdc3c0
501,Luis Oyama,br BRA,MF,Botafogo (RJ),25,1997,12.0,580,559,18,16,3,7,1,2,0,0,0,0,472,3,5,Matches,ed0c094b
502,Pablo,br BRA,FW,Atl Paranaense,29,1992,16.6,384,351,29,2,1,2,5,9,1,0,0,0,268,4,14,Matches,1ad394c5
503,Pablo,br BRA,DF,Flamengo,30,1991,21.6,1193,1134,56,49,0,8,1,2,0,0,0,0,1067,3,8,Matches,29d8ad3f
504,Juan Pablo,br BRA,DFMF,Goiás,19,2002,1.9,70,48,22,2,0,0,2,20,0,0,0,0,50,0,2,Matches,f40465af
505,Juan Pablo Ramírez,co COL,MFFW,América (MG),24,1997,4.5,199,168,31,11,0,2,8,8,8,2,4,0,153,0,3,Matches,20a17a29
506,Bruno Pacheco,br BRA,DF,Ceará,30,1991,26.1,,,,,,,66,,,,,,,,,Matches,9b7976e6
507,Igor Paixão,br BRA,FWMF,Coritiba,21,2000,17.2,493,425,66,9,1,5,83,2,55,24,18,0,339,2,13,Matches,089c7323
508,Pará,br BRA,MF,Juventude,19,2002,0.9,37,37,0,0,0,0,0,0,0,0,0,0,29,0,1,Matches,5b1cd0cc
509,Nino Paraíba,br BRA,DF,Ceará,36,1986,24.6,1212,962,246,32,3,8,174,210,4,0,4,0,839,4,44,Matches,403ef062
510,Guilherme Parede,br BRA,FWMF,Juventude,26,1995,6.6,,,,,,,28,,,,,,,,,Matches,2da1c94c
511,Weslley Patati,br BRA,FW,Santos,18,2003,0.2,,,,,,,0,,,,,,,,,Matches,0df16cd7
512,Patrick,br BRA,MFFW,São Paulo,29,1992,21.8,759,747,8,5,1,5,62,3,0,0,0,0,591,4,33,Matches,92add14e
513,Alan Patrick,br BRA,MFFW,Internacional,30,1991,17.5,880,798,79,35,7,4,56,2,40,19,17,1,735,3,14,Matches,00672021
514,Luan Patrick,br BRA,DF,América (MG),20,2002,9.0,335,314,21,8,0,3,12,13,0,0,0,0,274,0,2,Matches,dd5d1c85
515,Patryck,br BRA,DF,São Paulo,19,2003,0.3,15,13,2,0,0,0,0,2,0,0,0,0,8,0,0,Matches,8dcbd7af
516,Giuliano de Paula,br BRA,MF,Corinthians,31,1990,18.4,1077,1016,59,20,1,0,18,5,14,8,5,0,944,2,10,Matches,ab1b205d
517,Patrick de Paula,br BRA,MF,Botafogo (RJ),22,1999,11.3,463,414,45,40,1,6,14,1,4,3,1,0,354,4,4,Matches,9f12fbb7
518,Paulão,br BRA,DF,Cuiabá,35,1986,8.0,254,225,29,25,0,2,3,0,0,0,0,0,198,0,1,Matches,20587790
519,Paulinho,br BRA,FWMF,América (MG),23,1998,3.2,78,57,20,4,0,1,12,0,13,1,4,0,50,1,3,Matches,bc486f0e
520,Paulinho,br BRA,MF,Corinthians,33,1988,1.8,90,85,5,2,1,0,0,0,0,0,0,0,84,0,0,Matches,bb7337cc
521,Caio Paulista,br BRA,DF,Fluminense,23,1998,17.9,944,805,135,2,1,1,42,133,0,0,0,0,787,4,26,Matches,701bb051
522,Wellington Paulista,br BRA,FW,América (MG),37,1984,5.7,118,110,7,0,1,2,3,2,0,0,0,0,76,1,4,Matches,f2eece5b
523,João Paulo,br BRA,DF,América (MG),35,1986,3.9,183,139,43,8,0,1,21,32,3,1,2,0,132,1,3,Matches,ce208556
524,João Paulo,br BRA,GK,Santos,26,1995,37.0,962,562,395,90,0,3,0,0,0,0,0,0,686,5,0,Matches,d0102ca0
525,Marcos Paulo,br BRA,DF,Flamengo,19,2003,0.3,23,15,8,2,0,0,0,6,0,0,0,0,13,0,2,Matches,4dd6bb79
526,Cristian Pavón,ar ARG,FWMF,Atlético Mineiro,26,1996,7.7,338,325,13,2,1,7,31,7,4,0,2,0,256,0,12,Matches,a664b026
527,Pedrinho,br BRA,FWMF,América (MG),22,1999,10.8,330,315,12,0,1,7,26,5,7,3,2,0,230,3,14,Matches,035341ba
528,Pedrinho,br BRA,DFFW,Atl Paranaense,19,2002,15.4,663,529,134,6,1,6,49,117,11,4,5,0,474,0,12,Matches,64aadf6b
529,Pedrinho,br BRA,MFFW,Atlético Mineiro,23,1998,2.5,146,141,5,1,1,0,7,1,3,2,1,0,118,0,2,Matches,6796e284
530,Pedrinho,br BRA,FW,Flamengo,18,2003,0.1,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,118d25ee
531,Pedro,br BRA,FW,Flamengo,24,1997,13.0,188,178,10,0,3,0,3,1,0,0,0,0,135,0,6,Matches,1ab6fad3
532,João Pedro,br BRA,DFFW,Corinthians,25,1996,1.3,46,36,10,0,0,0,0,10,0,0,0,0,30,0,2,Matches,31d1ed52
533,João Pedro Pepê,br BRA,MF,Cuiabá,24,1998,25.8,1188,1115,70,29,6,17,73,4,37,11,24,0,975,3,21,Matches,d75471eb
534,Peglow,br BRA,FWMF,Atl Goianiense,20,2002,2.6,112,98,13,3,0,0,14,2,8,3,2,0,88,1,3,Matches,8a861bc5
535,Pegorari,br BRA,GK,Juventude,30,1991,12.7,385,225,159,31,0,2,0,0,0,0,0,0,286,1,0,Matches,2ad9d2e3
536,Matheus Peixoto,br BRA,FW,Ceará,26,1995,5.2,100,91,8,0,0,0,1,2,0,0,0,0,63,1,6,Matches,05160796
537,Douglas Pelé,br BRA,FWDF,Goiás,22,1999,1.0,18,15,3,1,0,0,3,1,1,0,1,0,13,0,2,Matches,7c6ac38f
538,Léo Pelé,br BRA,DF,São Paulo,25,1996,27.6,1591,1528,59,41,0,11,9,18,0,0,0,0,1386,4,10,Matches,77980eb9
539,Carlos de Pena,uy URU,MFFW,Internacional,29,1992,29.3,1735,1545,180,67,5,23,177,24,89,29,52,0,1272,10,31,Matches,6b915aa1
540,Andreas Pereira,br BRA,MF,Flamengo,26,1996,8.8,464,408,53,32,2,6,51,3,17,8,5,0,347,3,8,Matches,6639e500
541,Egídio Pereira Júnior,br BRA,DFMF,Coritiba,35,1986,14.0,772,614,156,37,0,7,117,98,19,5,9,0,564,2,22,Matches,6c5b3d31
542,Léo Pereira,br BRA,DF,Flamengo,26,1996,12.4,916,878,38,25,1,6,6,13,0,0,0,0,827,0,4,Matches,bd247251
543,Hernán Pérez,py PAR,FW,Coritiba,32,1989,1.1,32,31,1,0,0,0,4,0,1,0,0,0,18,0,2,Matches,e1cea3f7
544,Lucas Perri,br BRA,GK,Botafogo (RJ),24,1997,3.8,117,69,46,15,0,0,0,0,0,0,0,0,69,2,0,Matches,5dbd461a
545,Petterson,br BRA,FWMF,Flamengo,18,2004,0.3,8,7,1,0,0,0,1,0,0,0,0,0,7,0,0,Matches,9943597e
546,Yan Phillipe,br BRA,FW,Atlético Mineiro,17,2004,0.2,13,13,0,0,0,0,1,0,0,0,0,0,10,0,1,Matches,03d01a35
547,Lucas Piazon,br BRA,FWMF,Botafogo (RJ),28,1994,8.3,305,275,27,12,0,0,23,4,10,3,7,0,240,3,6,Matches,f201798c
548,Yago Pikachu,br BRA,DFMF,Fortaleza,29,1992,13.4,510,436,70,17,0,7,48,33,20,11,8,1,378,4,16,Matches,462f1e13
549,Mario Pineida,ec ECU,DF,Fluminense,29,1992,3.7,217,179,38,3,1,0,9,35,0,0,0,0,184,0,3,Matches,2990a468
550,Joaquín Piquerez,uy URU,DF,Palmeiras,23,1998,24.7,1316,1095,218,37,1,12,54,181,0,0,0,0,1081,3,34,Matches,46009f44
