,,,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
79,David Braz,br BRA,DF,Fluminense,34,1987,7.9,416,386,29,23,0,7,2,2,0,0,0,0,348,1,1,Matches,9313b408
80,Breno,br BRA,FW,Palmeiras,26,1996,3.7,151,145,5,2,0,3,14,3,0,0,0,0,109,1,5,Matches,e0016d00
81,Bressan,br BRA,DF,Avaí,29,1993,20.6,1046,988,54,52,0,20,0,2,0,0,0,0,875,4,8,Matches,3db1684c
82,Emanuel Brítez,ar ARG,DF,Fortaleza,29,1992,20.0,682,548,132,16,1,5,6,116,0,0,0,0,476,2,10,Matches,fb29d05d
83,Bruninho,br BRA,MFFW,Juventude,21,2000,1.3,47,37,10,3,0,0,7,0,7,0,6,0,38,0,1,Matches,f7a3e78a
84,Bruno,br BRA,MF,Bragantino,18,2003,0.4,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0,Matches,ad8c3404
85,Fabrício Bruno,br BRA,DF,Flamengo,25,1996,13.0,766,716,50,45,0,12,2,0,0,0,0,0,688,0,1,Matches,470d197b
86,Ricardo Bueno,br BRA,FW,Juventude,34,1987,9.0,262,241,19,0,0,3,11,0,0,0,0,0,197,2,7,Matches,768cbb2d
87,Vitor Bueno,br BRA,MFFW,Atl Paranaense,27,1994,12.5,459,414,42,19,3,10,28,2,12,8,2,0,343,3,5,Matches,5752f96d
88,Busanello,br BRA,DF,Juventude,23,1998,3.2,149,117,30,2,0,0,12,24,4,3,1,0,116,2,2,Matches,788c4780
89,Fabricio Bustos,ar ARG,DF,Internacional,25,1996,29.7,1708,1420,286,33,0,1,35,253,0,0,0,0,1340,2,40,Matches,82549f54
90,Nahuel Bustos,ar ARG,FW,São Paulo,23,1998,3.2,70,68,2,0,0,0,3,0,0,0,0,0,55,0,3,Matches,8f774c7f
91,Daniel Cabral,br BRA,FW,Flamengo,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,c080bb5e
92,Patric Cabral Lalau,br BRA,DF,América (MG),32,1989,19.1,1077,812,263,35,0,6,118,192,36,10,23,0,777,2,35,Matches,16cd17b7
93,Raúl Cáceres,py PAR,DF,América (MG),30,1991,18.0,831,639,190,10,0,2,89,164,16,0,15,0,581,2,22,Matches,6d9dc5be
94,Matheus Cadorini,br BRA,FW,Internacional,19,2002,1.0,16,14,1,0,0,0,1,0,0,0,0,0,11,1,2,Matches,7f2b23f8
95,Matheus Cadorini,br BRA,FW,Coritiba,19,2002,3.5,85,71,12,0,1,2,0,0,0,0,0,0,59,2,3,Matches,7f2b23f8
96,Caetano,br BRA,DF,Goiás,22,1999,24.6,888,819,67,32,0,11,4,31,0,0,0,0,729,2,4,Matches,226e5efd
97,Jonathan Cafu,br BRA,DFMF,Cuiabá,30,1991,6.2,209,200,8,2,0,1,15,6,0,0,0,0,160,1,7,Matches,8d043f1d
98,Rodrigo Caio,br BRA,DF,Flamengo,28,1993,6.5,415,398,17,17,0,0,0,0,0,0,0,0,389,0,0,Matches,186ed8f1
99,Calebe,br BRA,MFFW,Atlético Mineiro,21,2000,2.9,172,163,9,7,1,1,4,1,1,0,1,0,150,0,2,Matches,c84af55e
100,Lucas Calegari,br BRA,DF,Fluminense,19,2002,7.3,409,342,65,11,0,2,13,54,0,0,0,0,344,2,8,Matches,a564fe91
101,Jonathan Calleri,ar ARG,FW,São Paulo,28,1993,31.3,650,584,61,0,1,2,38,3,0,0,0,0,418,5,27,Matches,6922f806
102,Guilherme Camacho,br BRA,MF,Santos,31,1990,18.1,978,927,50,48,1,4,4,2,0,0,0,0,858,1,11,Matches,61a6775b
103,Nathan Camargo,br BRA,MFFW,Bragantino,16,2005,0.8,34,29,5,1,0,0,0,4,0,0,0,0,28,0,0,Matches,2c79da44
104,Camilo,br BRA,MF,Cuiabá,22,1999,18.5,728,711,14,11,1,7,7,3,0,0,0,0,598,3,12,Matches,dfb81359
105,Camutanga,br BRA,DF,Atl Goianiense,28,1993,0.8,54,52,2,2,0,0,0,0,0,0,0,0,50,0,0,Matches,c455a045
106,Luan Cândido,br BRA,DF,Bragantino,20,2001,29.2,1324,1037,283,12,0,4,46,271,0,0,0,0,948,4,17,Matches,ca151606
107,Germán Cano,ar ARG,FW,Fluminense,33,1988,34.2,574,500,71,0,1,6,12,2,0,0,0,0,435,3,20,Matches,9ccf4e14
108,Agustín Canobbio,uy URU,FW,Atl Paranaense,23,1998,15.6,419,378,39,6,3,2,35,16,17,10,3,0,304,2,13,Matches,4f5a2f38
109,Víctor Cantillo,co COL,MF,Corinthians,28,1993,10.2,751,689,61,35,0,16,23,4,22,10,5,0,644,1,6,Matches,45075f2f
110,Capixaba,br BRA,FWMF,Juventude,25,1997,18.4,449,396,51,8,0,0,58,32,9,4,3,0,302,2,19,Matches,ea2634a1
111,Juninho Capixaba,br BRA,DF,Fortaleza,24,1997,32.3,1774,1387,377,55,1,7,157,270,51,28,20,0,1254,10,39,Matches,91ba7336
112,Gabriel Carabajal,ar ARG,MFFW,Santos,30,1991,5.5,229,197,31,10,0,4,26,5,16,4,10,0,171,1,3,Matches,7a694ae4
113,Johnny Cardoso,us USA,MF,Internacional,20,2001,15.7,762,754,7,6,0,2,5,1,0,0,0,0,650,1,15,Matches,7426f085
114,Igor Cariús,br BRA,DFMF,Cuiabá,28,1993,12.9,640,493,143,11,0,3,41,132,0,0,0,0,447,4,23,Matches,662475de
115,Joel Carli,ar ARG,DF,Botafogo (RJ),35,1986,4.1,132,123,9,8,0,0,0,0,0,0,0,0,107,0,0,Matches,00d6e369
116,Ed Carlos,br BRA,MF,Santos,20,2001,2.9,162,145,16,3,2,4,10,2,10,8,0,0,125,1,3,Matches,e93e479e
117,Jan Carlos Hurtado,ve VEN,FW,Bragantino,21,2000,5.4,82,65,16,0,0,0,1,0,0,0,0,0,66,1,1,Matches,f50b0b2b
118,João Carlos,br BRA,GK,Cuiabá,33,1988,10.6,254,143,111,20,0,0,0,0,0,0,0,0,166,0,0,Matches,ad9e7995
119,Alan Carvalho,cn CHN,FWMF,Fluminense,32,1989,0.4,13,13,0,0,0,0,0,0,0,0,0,0,13,0,0,Matches,ebb2d232
120,Guilherme Carvalho,br BRA,MF,Ceará,22,1999,7.6,322,288,34,17,1,1,26,5,12,5,3,0,244,0,5,Matches,a32d25d3
121,Guilherme Carvalho,br BRA,MFDF,Atlético Mineiro,22,1999,1.6,71,68,3,2,0,0,1,1,0,0,0,0,55,0,2,Matches,a32d25d3
122,Cássio,br BRA,GK,Corinthians,34,1987,34.0,958,570,388,100,0,1,0,0,0,0,0,0,704,0,0,Matches,d42f6326
123,Luciano Castán,br BRA,DF,Coritiba,32,1989,35.0,1631,1532,97,84,0,19,2,2,0,0,0,0,1371,2,15,Matches,0470eeba
124,Iury de Castilho,br BRA,FW,Ceará,26,1995,5.8,136,133,3,1,0,1,13,1,1,0,0,0,101,0,4,Matches,555311f2
125,Cauã,br BRA,DF,Juventude,18,2003,0.5,19,13,6,0,0,0,0,6,0,0,0,0,13,0,1,Matches,3c48a088
126,Matheus Cavichioli,br BRA,GK,América (MG),35,1986,25.0,778,472,305,64,0,2,0,0,0,0,0,0,522,1,0,Matches,8470f026
127,Brayan Ceballos,co COL,DF,Fortaleza,20,2001,11.9,472,430,41,5,0,0,3,36,0,0,0,0,351,1,6,Matches,3fa61ade
128,Murilo Cerqueira,br BRA,DF,Palmeiras,24,1997,31.5,1624,1583,38,36,0,13,0,2,0,0,0,0,1463,3,4,Matches,10fe831e
129,Reynaldo Cesar Moraes,br BRA,DF,Goiás,25,1997,30.5,843,824,16,16,0,5,2,0,0,0,0,0,701,3,7,Matches,589d070c
130,Jhon Chancellor,ve VEN,DF,Coritiba,30,1992,13.0,408,397,11,10,0,1,0,1,0,0,0,0,343,0,1,Matches,84b6acaa
131,Arthur Chaves,br BRA,DF,Avaí,21,2001,16.5,829,808,17,15,0,2,0,2,0,0,0,0,720,4,6,Matches,913e4711
132,Renato Chaves,br BRA,DF,Juventude,31,1990,1.8,39,37,1,1,0,1,0,0,0,0,0,0,28,1,0,Matches,2a51efe8
133,Chico,br BRA,MFFW,Juventude,30,1991,24.2,1018,860,156,61,1,10,145,2,83,35,41,0,724,2,23,Matches,bad7d8a9
134,Christian,br BRA,MF,Atl Paranaense,21,2000,4.8,173,169,4,3,0,3,3,0,0,0,0,0,141,0,4,Matches,a856b456
